date,headline,description
2024-04-24 15:44:57,DOJ seeks 3-year sentence—double federal guidelines—for Binance’s Changpeng Zhao,"Prosecutors said 36 months would be an appropriate term given the Binance founder's ""willful violation of U.S. law and its consequences."""
2024-04-11 17:41:11,VanEck CEO says brokerage platforms aren’t yet recommending Bitcoin ETFs: ‘There’s a long ways to go’,Jan van Eck told Fortune that he doesn't expect the SEC to approve an Ethereum ETF.
2024-05-01 12:00:00,"Multicoin Capital leads $5 million round for Baxus, a Web3 marketplace for wine and spirits","The global luxury wines and spirits market is forecast to almost double in size by 2032, and BAXUS wants to streamline the marketplace."
2024-04-12 21:40:48,Deion Sanders' son reveals the crypto advice he should've taken from his NFL Hall of Famer dad—but didn't—and his ambitious financial goal: 'Billionaire. That’s what it got to be',"""I wish I would have just taken it out and listened to my dad when he told me. He said take it out right then. But I didn’t."""
2024-04-20 16:39:33,A dot-com entrepreneur who once lost $6 billion in one day has made billions from the Bitcoin rally and his company's surging shares,Saylor has billions of dollars worth of paper gains from his holdings of MicroStrategy stock and his personal Bitcoin stash.
2024-04-04 20:48:33,Sam Bankman-Fried's mom tried to explain her son to the judge—’he has never felt happiness or pleasure in his life and does not think he is capable of feeling it’,"""He has never been interested in praise, and has always deflected it,"" Barbara Fried wrote of SBF as she pleaded for a lenient sentence."
2024-05-02 22:06:58,"Coinbase revenue soars by 72% to $1.6 billion, smashing analysts’ predictions",The increase was fueled by a boost in consumer and institutional transactions due to favorable conditions in the wider cryptocurrency market.
2024-04-24 22:18:13,"Investors yank $2.2 billion from Cathie Wood’s once-mega popular Ark funds, even as tech skyrockets",The firm’s cumulative ETF assets are down 81% from 2021 highs.
2024-04-30 08:49:04,Binance founder CZ faces possible 3-year jail term for allowing money laundering as judge decides sentence,Zhao pleaded guilty and stepped down as Binance CEO in November as the company agreed to pay $4.3 billion to settle related allegations.
2024-04-26 15:45:11,"Bitcoin ETFs stall: BlackRock ends 71-day streak, Fidelity sees first outflows","The Bitcoin ETF frenzy has cooled a bit with the original cryptocurrency hovering near $63,500."
2024-04-24 17:28:53,The AI frenzy could fall flat as companies hoard chips without enough data centers to host them,"This “buy AI now, figure it out if it works later"" mode is the very mindset that could put sustainable AI innovation in jeopardy."
2024-04-29 11:46:35,Rich Americans' spending is driving the U.S. economy—and likely leading the Fed to delay interest rate cuts,"It's the so-called “wealth effect,"" whereby rising home and stock values give people confidence to increase their spending."
2024-04-26 23:43:54,Billionaire Miami Dolphins owner wants South Florida to be more like Manhattan—'I still love a challenge',"“I want to make West Palm a model city for the country,"" said Related Cos. founder, Stephen Ross."
