coin name,timestamp,price
Wrapped Ether,1716033600,3140.8800690159133
Wrapped Ether,1716030000,3138.4813596594527
Wrapped Ether,1716026400,3123.2114659144127
Wrapped Ether,1716022800,3115.3671646077437
Wrapped Ether,1716019200,3101.0890137846222
Wrapped Ether,1716015600,3097.8736891466865
Wrapped Ether,1716012000,3099.763583681963
Wrapped Ether,1716008400,3104.5402733842707
Wrapped Ether,1716004800,3112.467772938923
Wrapped Ether,1716001200,3098.522165268525
Wrapped Ether,1715997600,3094.6703775059077
Wrapped Ether,1715994000,3093.519135436109
Wrapped Ether,1715990400,3090.774470372023
Wrapped Ether,1715986800,3094.6607563187195
Wrapped Ether,1715983200,3086.003040084385
Wrapped Ether,1715979600,3088.9246639808766
Wrapped Ether,1715976000,3086.767322642928
Wrapped Ether,1715972400,3085.159932122215
Wrapped Ether,1715968800,3090.294360768739
Wrapped Ether,1715965200,3101.347158426674
Wrapped Ether,1715961600,3107.1472781755247
Wrapped Ether,1715958000,3083.6165897635774
Wrapped Ether,1715954400,3061.9197659296133
Wrapped Ether,1715950800,3069.120154782442
Wrapped Ether,1715947200,3032.30545798057
Wrapped Ether,1715943600,3036.3985477477327
Wrapped Ether,1715940000,3032.1181403885216
Wrapped Ether,1715936400,3034.1455235476806
Wrapped Ether,1715932800,3019.757878543297
Wrapped Ether,1715929200,2960.282476185915
Wrapped Ether,1715925600,2944.289667726274
Wrapped Ether,1715922000,2946.2520822751294
Wrapped Ether,1715918400,2951.063202552709
Wrapped Ether,1715914800,2949.42511392764
Wrapped Ether,1715911200,2947.2599556431373
Wrapped Ether,1715907600,2948.0069615388115
Wrapped Ether,1715904000,2942.8708121655136
Wrapped Ether,1715900400,2938.9835929479204
Wrapped Ether,1715896800,2939.1635487384965
Wrapped Ether,1715893200,2941.8890015477327
Wrapped Ether,1715889600,2951.5802560120587
Wrapped Ether,1715886000,2947.9842171467076
Wrapped Ether,1715882400,2943.4946063791904
Wrapped Ether,1715878800,2930.0025306813895
Wrapped Ether,1715875200,2961.028004894109
Wrapped Ether,1715871600,2957.6867578628194
Wrapped Ether,1715868000,2978.9902062633364
Wrapped Ether,1715864400,2989.8740093218194
Wrapped Ether,1715860800,3006.622214968957
Wrapped Ether,1715857200,2998.8072332202146
Wrapped Ether,1715853600,3004.2430620422256
Wrapped Ether,1715850000,3013.0349178932593
Wrapped Ether,1715846400,3011.1992082051347
Wrapped Ether,1715842800,3016.082677372537
Wrapped Ether,1715839200,3007.1845753993657
Wrapped Ether,1715835600,3006.8010214592377
Wrapped Ether,1715832000,3016.9154285110308
Wrapped Ether,1715828400,3005.156858012233
Wrapped Ether,1715824800,3017.827868497377
Wrapped Ether,1715821200,3022.5192999972323
Wrapped Ether,1715817600,3032.070366261249
Wrapped Ether,1715814000,3014.440499387619
Wrapped Ether,1715810400,3025.103561204713
Wrapped Ether,1715806800,3010.480322443521
Wrapped Ether,1715803200,3014.6827756809153
Wrapped Ether,1715799600,2991.0923493696555
Wrapped Ether,1715796000,2969.525522525696
Wrapped Ether,1715792400,2982.035329735818
Wrapped Ether,1715788800,2977.057677882534
Wrapped Ether,1715785200,2966.473101396382
Wrapped Ether,1715781600,2963.6271261644397
Wrapped Ether,1715778000,2938.3714521238444
Wrapped Ether,1715774400,2896.567820756904
Wrapped Ether,1715770800,2909.980036964376
Wrapped Ether,1715767200,2922.0657366954374
Wrapped Ether,1715763600,2912.4878664223675
Wrapped Ether,1715760000,2915.6351509565543
Wrapped Ether,1715756400,2885.4517506248803
